PrimaryKey,DBKey,EcologicalSiteId,Latitude_NAD83,Longitude_NAD83,
19020816041349872019-03-12,REPORT12Mar19AkronDIMA5.5aasof2020-06-26, UNKNOWN,40.1609,-103.142,
19020816041349872018-12-21,REPORT21Dec18AkronDIMA5.5aasof2020-06-26, UNKNOWN,40.1609,-103.142,
19020816041349872019-10-25,REPORT25Oct19AkronDIMA5.5aasof2020-06-26, UNKNOWN,40.1609,-103.142,
19020816041349872019-04-04,REPORT4Apr19AkronDIMA5.5aasof2020-06-26, UNKNOWN,40.1609,-103.142,
19020816041349872019-06-05,REPORT5Jun19AkronDIMA5.5aasof2020-06-26, UNKNOWN,40.1609,-103.142,
15120315082630972016-04-13,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972016-12-15,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972017-05-17,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972017-07-14,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972017-11-14,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972018-04-11,CPERMWAC13Apr16to11Apr18DIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972018-09-10,REPORT10Sep18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972018-12-13,REPORT13Dec18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972016-04-14,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972016-09-27,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972017-04-06,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972017-07-12,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972017-11-03,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972018-04-10,REPORT14Apr16-10Apr18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972019-05-15,REPORT15May19CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972019-08-21,REPORT21Aug19CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
15120315082630972018-06-26,REPORT26Jun18CPERDIMA5.5aasof2020-06-26, UNKNOWN,40.8349,-104.697,
17062316455172542018-04-16,REPORT16Apr18ElRenoDIMA5.5aasof2020-06-26, UNKNOWN,35.555,-98.0391,
17062316455172542018-07-17,REPORT17Jul18ElRenoDIMA5.5aasof2020-06-26, UNKNOWN,35.555,-98.0391,
17062316455172542017-06-19,REPORT19Jun17ElRenoDIMA5.5aasof2020-06-26, UNKNOWN,35.555,-98.0391,
15052012001494532015-12-04,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
15052012001494532015-08-07,HAFBMWAC7Aug15to22Jun21DIMA5.5aasof2020-06-26, UNKNOWN,32.9422,-106.107,
