"","PrimaryKey","gap_class","nwern_percent","nwern_n","nwern_length","total_line_length","length","n","percent","group","n_lines","line_length","percent_difference"
"1","15050113465465692015-05-05","101-201",27.33,59,8199,2500,633,5,25.32,"L_25_N_1",1,25,2.01
"2","15050113465465692015-05-05","101-201",27.33,59,8199,5000,1399,10,27.98,"L_25_N_2",2,25,-0.650000000000002
"3","15050113465465692015-05-05","101-201",27.33,59,8199,7500,2032,15,27.0933333333333,"L_25_N_3",3,25,0.236666666666661
"4","15050113465465692015-05-05","101-201",27.33,59,8199,5000,1607,11,32.14,"L_50_N_1",1,50,-4.81
"5","15050113465465692015-05-05","101-201",27.33,59,8199,10000,2721,21,27.21,"L_50_N_2",2,50,0.119999999999997
"6","15050113465465692015-05-05","101-201",27.33,59,8199,15000,3905,28,26.0333333333333,"L_50_N_3",3,50,1.29666666666666
"7","15050113465465692015-05-05","101-201",27.33,59,8199,10000,2823,21,28.23,"L_100_N_1",1,100,-0.900000000000002
"8","15050113465465692015-05-05","101-201",27.33,59,8199,20000,5510,41,27.55,"L_100_N_2",2,100,-0.220000000000002
"9","15050113465465692015-05-05","101-201",27.33,59,8199,30000,8199,59,27.33,"NWERN Base",3,100,0
"10","15050113465465692015-05-05","20-25",1.36,19,408,2500,86,4,3.44,"L_25_N_1",1,25,-2.08
"11","15050113465465692015-05-05","20-25",1.36,19,408,5000,0,0,0,"L_25_N_2",2,25,1.36
"12","15050113465465692015-05-05","20-25",1.36,19,408,7500,86,4,1.14666666666667,"L_25_N_3",3,25,0.213333333333333
"13","15050113465465692015-05-05","20-25",1.36,19,408,5000,67,3,1.34,"L_50_N_1",1,50,0.0199999999999998
"14","15050113465465692015-05-05","20-25",1.36,19,408,10000,128,6,1.28,"L_50_N_2",2,50,0.0799999999999998
"15","15050113465465692015-05-05","20-25",1.36,19,408,15000,236,11,1.57333333333333,"L_50_N_3",3,50,-0.213333333333333
"16","15050113465465692015-05-05","20-25",1.36,19,408,10000,192,9,1.92,"L_100_N_1",1,100,-0.56
"17","15050113465465692015-05-05","20-25",1.36,19,408,20000,297,14,1.485,"L_100_N_2",2,100,-0.125
"18","15050113465465692015-05-05","20-25",1.36,19,408,30000,408,19,1.36,"NWERN Base",3,100,0
"19","15050113465465692015-05-05","201-Inf",19.4633333333333,20,5839,2500,204,1,8.16,"L_25_N_1",1,25,11.3033333333333
"20","15050113465465692015-05-05","201-Inf",19.4633333333333,20,5839,5000,1252,4,25.04,"L_25_N_2",2,25,-5.57666666666667
"21","15050113465465692015-05-05","201-Inf",19.4633333333333,20,5839,7500,1456,5,19.4133333333333,"L_25_N_3",3,25,0.0499999999999972
"22","15050113465465692015-05-05","201-Inf",19.4633333333333,20,5839,5000,574,2,11.48,"L_50_N_1",1,50,7.98333333333333
