"","PrimaryKey","indicator","nwern_height","nwern_pin_n","mean_height","line_length","interval","n_lines","pin_n","difference","group"
"1","15050113465465692015-05-05","mean_height",27.3695652173913,150,11.9166666666667,25,8,1,12,15.4528985507246,"I_8_L_25_N_1"
"2","15050113465465692015-05-05","mean_height",27.3695652173913,150,18.9166666666667,25,8,2,24,8.45289855072464,"I_8_L_25_N_2"
"3","15050113465465692015-05-05","mean_height",27.3695652173913,150,25.3636363636364,25,8,3,36,2.00592885375494,"I_8_L_25_N_3"
"4","15050113465465692015-05-05","mean_height",27.3695652173913,150,38.8,25,16,1,6,-11.4304347826087,"I_16_L_25_N_1"
"5","15050113465465692015-05-05","mean_height",27.3695652173913,150,23.3333333333333,25,16,2,12,4.03623188405797,"I_16_L_25_N_2"
"6","15050113465465692015-05-05","mean_height",27.3695652173913,150,25.7647058823529,25,16,3,18,1.60485933503836,"I_16_L_25_N_3"
"7","15050113465465692015-05-05","mean_height",27.3695652173913,150,16.75,25,24,1,4,10.6195652173913,"I_24_L_25_N_1"
"8","15050113465465692015-05-05","mean_height",27.3695652173913,150,16,25,24,2,8,11.3695652173913,"I_24_L_25_N_2"
"9","15050113465465692015-05-05","mean_height",27.3695652173913,150,20.9090909090909,25,24,3,12,6.46047430830039,"I_24_L_25_N_3"
"10","15050113465465692015-05-05","mean_height",27.3695652173913,150,16.6666666666667,25,32,1,3,10.7028985507246,"I_32_L_25_N_1"
"11","15050113465465692015-05-05","mean_height",27.3695652173913,150,37.6666666666667,25,32,2,6,-10.2971014492754,"I_32_L_25_N_2"
"12","15050113465465692015-05-05","mean_height",27.3695652173913,150,32.125,25,32,3,9,-4.7554347826087,"I_32_L_25_N_3"
"13","15050113465465692015-05-05","mean_height",27.3695652173913,150,22,25,40,1,3,5.3695652173913,"I_40_L_25_N_1"
"14","15050113465465692015-05-05","mean_height",27.3695652173913,150,29,25,40,2,6,-1.6304347826087,"I_40_L_25_N_2"
"15","15050113465465692015-05-05","mean_height",27.3695652173913,150,37.125,25,40,3,9,-9.7554347826087,"I_40_L_25_N_3"
"16","15050113465465692015-05-05","mean_height",27.3695652173913,150,20,50,8,1,25,7.3695652173913,"I_8_L_50_N_1"
"17","15050113465465692015-05-05","mean_height",27.3695652173913,150,26.5869565217391,50,8,2,50,0.782608695652176,"I_8_L_50_N_2"
"18","15050113465465692015-05-05","mean_height",27.3695652173913,150,26.2428571428571,50,8,3,75,1.12670807453416,"I_8_L_50_N_3"
"19","15050113465465692015-05-05","mean_height",27.3695652173913,150,37.75,50,16,1,13,-10.3804347826087,"I_16_L_50_N_1"
"20","15050113465465692015-05-05","mean_height",27.3695652173913,150,29.4583333333333,50,16,2,26,-2.08876811594203,"I_16_L_50_N_2"
"21","15050113465465692015-05-05","mean_height",27.3695652173913,150,24.8285714285714,50,16,3,39,2.54099378881988,"I_16_L_50_N_3"
"22","15050113465465692015-05-05","mean_height",27.3695652173913,150,15.25,50,24,1,9,12.1195652173913,"I_24_L_50_N_1"
"23","15050113465465692015-05-05","mean_height",27.3695652173913,150,29.6875,50,24,2,18,-2.3179347826087,"I_24_L_50_N_2"
"24","15050113465465692015-05-05","mean_height",27.3695652173913,150,19.6666666666667,50,24,3,27,7.70289855072464,"I_24_L_50_N_3"
"25","15050113465465692015-05-05","mean_height",27.3695652173913,150,37.5,50,32,1,7,-10.1304347826087,"I_32_L_50_N_1"
"26","15050113465465692015-05-05","mean_height",27.3695652173913,150,28.6666666666667,50,32,2,14,-1.29710144927536,"I_32_L_50_N_2"
"27","15050113465465692015-05-05","mean_height",27.3695652173913,150,35.8333333333333,50,32,3,21,-8.46376811594203,"I_32_L_50_N_3"
"28","15050113465465692015-05-05","mean_height",27.3695652173913,150,34,50,40,1,5,-6.6304347826087,"I_40_L_50_N_1"
"29","15050113465465692015-05-05","mean_height",27.3695652173913,150,28.2,50,40,2,10,-0.830434782608695,"I_40_L_50_N_2"
"30","15050113465465692015-05-05","mean_height",27.3695652173913,150,34.8571428571429,50,40,3,15,-7.48757763975155,"I_40_L_50_N_3"
"31","15050113465465692015-05-05","mean_height",27.3695652173913,150,21.3404255319149,100,8,1,50,6.02913968547641,"I_8_L_100_N_1"
