"","PrimaryKey","indicator","nwern_percent","percent","line_length","interval","n_lines","pin_n","difference","group"
"1","15050113465465692015-05-05","PC",16.2594776748104,27,25,25,1,100,-10.7405223251896,"I_25_L_25_N_1"
"2","15050113465465692015-05-05","PC",16.2594776748104,2.53807106598985,50,25,1,200,13.7214066088206,"I_25_L_50_N_1"
"3","15050113465465692015-05-05","PC",16.2594776748104,23.4848484848485,100,25,1,400,-7.22537081003804,"I_25_L_100_N_1"
"4","15050113465465692015-05-05","PC",16.2594776748104,12,25,50,1,50,4.25947767481045,"I_50_L_25_N_1"
"5","15050113465465692015-05-05","PC",16.2594776748104,20.2020202020202,50,50,1,100,-3.94254252720975,"I_50_L_50_N_1"
"6","15050113465465692015-05-05","PC",16.2594776748104,22.7272727272727,100,50,1,200,-6.46779505246228,"I_50_L_100_N_1"
"7","15050113465465692015-05-05","PC",16.2594776748104,8,25,100,1,25,8.25947767481045,"I_100_L_25_N_1"
"8","15050113465465692015-05-05","PC",16.2594776748104,20,50,100,1,50,-3.74052232518955,"I_100_L_50_N_1"
"9","15050113465465692015-05-05","PC",16.2594776748104,21.2121212121212,100,100,1,100,-4.95264353731076,"I_100_L_100_N_1"
"10","15050113465465692015-05-05","PC",16.2594776748104,30.7692307692308,25,200,1,13,-14.5097530944203,"I_200_L_25_N_1"
"11","15050113465465692015-05-05","PC",16.2594776748104,12,50,200,1,25,4.25947767481045,"I_200_L_50_N_1"
"12","15050113465465692015-05-05","PC",16.2594776748104,4.08163265306122,100,200,1,50,12.1778450217492,"I_200_L_100_N_1"
"13","15050113465465692015-05-05","PC",16.2594776748104,15.5,25,25,2,200,0.759477674810448,"I_25_L_25_N_2"
"14","15050113465465692015-05-05","PC",16.2594776748104,11.4213197969543,50,25,2,400,4.83815787785613,"I_25_L_50_N_2"
"15","15050113465465692015-05-05","PC",16.2594776748104,12.6422250316056,100,25,2,800,3.61725264320489,"I_25_L_100_N_2"
"16","15050113465465692015-05-05","PC",16.2594776748104,19,25,50,2,100,-2.74052232518955,"I_50_L_25_N_2"
"17","15050113465465692015-05-05","PC",16.2594776748104,7.57575757575758,50,50,2,200,8.68372009905287,"I_50_L_50_N_2"
"18","15050113465465692015-05-05","PC",16.2594776748104,12.6262626262626,100,50,2,400,3.63321504854782,"I_50_L_100_N_2"
"19","15050113465465692015-05-05","PC",16.2594776748104,12,25,100,2,50,4.25947767481045,"I_100_L_25_N_2"
"20","15050113465465692015-05-05","PC",16.2594776748104,6,50,100,2,100,10.2594776748104,"I_100_L_50_N_2"
"21","15050113465465692015-05-05","PC",16.2594776748104,13.1313131313131,100,100,2,200,3.12816454349732,"I_100_L_100_N_2"
"22","15050113465465692015-05-05","PC",16.2594776748104,11.5384615384615,25,200,2,26,4.72101613634891,"I_200_L_25_N_2"
"23","15050113465465692015-05-05","PC",16.2594776748104,8,50,200,2,50,8.25947767481045,"I_200_L_50_N_2"
"24","15050113465465692015-05-05","PC",16.2594776748104,24.4897959183673,100,200,2,100,-8.2303182435569,"I_200_L_100_N_2"
"25","15050113465465692015-05-05","PC",16.2594776748104,16,25,25,3,300,0.259477674810448,"I_25_L_25_N_3"
"26","15050113465465692015-05-05","PC",16.2594776748104,12.1621621621622,50,25,3,600,4.09731551264829,"I_25_L_50_N_3"
"27","15050113465465692015-05-05","PC",16.2594776748104,16.2594776748104,100,25,3,1200,0,"NWERN Base"
"28","15050113465465692015-05-05","PC",16.2594776748104,13.3333333333333,25,50,3,150,2.92614434147711,"I_50_L_25_N_3"
"29","15050113465465692015-05-05","PC",16.2594776748104,11.7845117845118,50,50,3,300,4.47496589029866,"I_50_L_50_N_3"
"30","15050113465465692015-05-05","PC",16.2594776748104,15.4882154882155,100,50,3,600,0.77126218659496,"I_50_L_100_N_3"
